,close,high,low,open,time,volumefrom,volumeto
0,0.4773,0.4783,0.4773,0.4782,2018-07-09 00:00:00,51127.53,24433.76
1,0.4774,0.4774,0.4771,0.4773,2018-07-09 00:01:00,9309.9,4444.8
2,0.477,0.4774,0.4769,0.4774,2018-07-09 00:02:00,47729.4,22771.34
3,0.4772,0.4774,0.4769,0.477,2018-07-09 00:03:00,632.52,304.39
4,0.477,0.4772,0.477,0.4772,2018-07-09 00:04:00,16261.44,7755.5
5,0.477,0.4773,0.477,0.477,2018-07-09 00:05:00,10113.98,4823.86
6,0.4778,0.4778,0.477,0.477,2018-07-09 00:06:00,44588.84,21283.6
7,0.4777,0.4778,0.4777,0.4778,2018-07-09 00:07:00,10787.25,5154.84
8,0.4777,0.4778,0.4777,0.4777,2018-07-09 00:08:00,4036.03,1923.41
9,0.4778,0.4778,0.4777,0.4777,2018-07-09 00:09:00,3371.1,1609.91
10,0.4778,0.4778,0.4778,0.4778,2018-07-09 00:10:00,1717.05,822.06
11,0.4778,0.4778,0.4778,0.4778,2018-07-09 00:11:00,5363.84,2562.77
12,0.4779,0.4779,0.4778,0.4778,2018-07-09 00:12:00,342.31,165.8
13,0.4779,0.4779,0.4779,0.4779,2018-07-09 00:13:00,6870.27,3284.95
14,0.4793,0.4793,0.4779,0.4779,2018-07-09 00:14:00,123790.68,59254.18
15,0.4791,0.4793,0.4791,0.4793,2018-07-09 00:15:00,11265.39,5401.58
16,0.4793,0.4793,0.4791,0.4791,2018-07-09 00:16:00,646.05,309.95
17,0.4795,0.4795,0.4792,0.4793,2018-07-09 00:17:00,23657.77,11338.89
18,0.4794,0.4795,0.4794,0.4795,2018-07-09 00:18:00,924.05,443.99
19,0.4795,0.4795,0.4794,0.4794,2018-07-09 00:19:00,2275.9,1089.27
20,0.4797,0.4797,0.4794,0.4795,2018-07-09 00:20:00,16220.62,7778.07
21,0.4798,0.4798,0.4797,0.4797,2018-07-09 00:21:00,23189.15,11121.1
22,0.4798,0.4798,0.4798,0.4798,2018-07-09 00:22:00,664.01,319.46
23,0.4799,0.48,0.4797,0.4798,2018-07-09 00:23:00,58912.82,28262.5
24,0.48,0.48,0.4799,0.4799,2018-07-09 00:24:00,247.58,119.12
25,0.4801,0.4801,0.48,0.48,2018-07-09 00:25:00,415.69,199.83
26,0.4799,0.4801,0.4799,0.4801,2018-07-09 00:26:00,5702.61,2738.12
27,0.4799,0.4799,0.4799,0.4799,2018-07-09 00:27:00,14616.53,7021.74
28,0.4801,0.4801,0.4799,0.4799,2018-07-09 00:28:00,1243.43,597.74
29,0.4802,0.4802,0.4801,0.4801,2018-07-09 00:29:00,2981.73,1432.37
30,0.4787,0.4802,0.4787,0.4802,2018-07-09 00:30:00,113210.34,54281.13
31,0.4788,0.4788,0.4787,0.4787,2018-07-09 00:31:00,6388.28,3070.98
32,0.4791,0.4791,0.4788,0.4788,2018-07-09 00:32:00,16042.97,7682.31
33,0.4791,0.4791,0.4791,0.4791,2018-07-09 00:33:00,233.52,112.63
34,0.479,0.4791,0.4789,0.4791,2018-07-09 00:34:00,1109.92,532.27
35,0.4792,0.4792,0.479,0.479,2018-07-09 00:35:00,4000.03,1925.68
36,0.4792,0.4792,0.4792,0.4792,2018-07-09 00:36:00,1355.24,649.87
37,0.4792,0.4792,0.4792,0.4792,2018-07-09 00:37:00,526.96,252.21
38,0.4792,0.4792,0.4792,0.4792,2018-07-09 00:38:00,16768.15,8032.2
39,0.4792,0.4792,0.479,0.4792,2018-07-09 00:39:00,4604.83,2216.77
40,0.4791,0.4792,0.479,0.4792,2018-07-09 00:40:00,10478.61,5025.4
41,0.4791,0.4791,0.4791,0.4791,2018-07-09 00:41:00,144.7,69.59
42,0.4792,0.4792,0.4791,0.4791,2018-07-09 00:42:00,3611.74,1732.71
43,0.4792,0.4792,0.4792,0.4792,2018-07-09 00:43:00,764.99,367.05
44,0.4792,0.4792,0.4792,0.4792,2018-07-09 00:44:00,466.84,224.32
45,0.4792,0.4792,0.4792,0.4792,2018-07-09 00:45:00,3087.99,1479.44
