,close,high,low,open,time,volumefrom,volumeto
0,0.6433,0.6469,0.6406,0.6468,2018-04-16 16:00:00,2286823.6,1469555.07
1,0.6607,0.6636,0.6426,0.6433,2018-04-16 17:00:00,4810883.21,3160757.85
2,0.6594,0.6611,0.6566,0.6604,2018-04-16 18:00:00,1392428.44,917781.7
3,0.6523,0.6617,0.6513,0.6594,2018-04-16 19:00:00,1723424.73,1133458.25
4,0.657,0.6577,0.6496,0.6526,2018-04-16 20:00:00,1800598.68,1176797.65
5,0.658,0.6606,0.6566,0.6571,2018-04-16 21:00:00,1108675.51,731340.57
6,0.6561,0.6595,0.6535,0.658,2018-04-16 22:00:00,1007580.96,660944.26
7,0.6638,0.6645,0.6559,0.6561,2018-04-16 23:00:00,1646773.48,1087947.48
8,0.6626,0.6645,0.6584,0.6638,2018-04-17 00:00:00,2002311.13,1325887.24
9,0.6596,0.6638,0.657,0.6626,2018-04-17 01:00:00,1345100.63,888078.03
10,0.6583,0.6598,0.653,0.6595,2018-04-17 02:00:00,2204113.09,1445294.77
11,0.6622,0.6629,0.658,0.6583,2018-04-17 03:00:00,1240578.48,820563.15
12,0.6586,0.6624,0.6575,0.6622,2018-04-17 04:00:00,1483578.06,977993.4
13,0.6564,0.6598,0.6563,0.6586,2018-04-17 05:00:00,1460550.15,961961.02
14,0.6606,0.6615,0.6563,0.6564,2018-04-17 06:00:00,1873734.68,1235251.02
15,0.6731,0.678,0.6602,0.6606,2018-04-17 07:00:00,8758809.27,5894181.21
16,0.6768,0.6783,0.6731,0.6732,2018-04-17 08:00:00,4126578.1,2791749.54
17,0.6759,0.6817,0.6758,0.6768,2018-04-17 09:00:00,3981686.72,2706999.11
18,0.6715,0.6793,0.668,0.6759,2018-04-17 10:00:00,3754372.07,2522872.72
19,0.6757,0.6757,0.6713,0.6715,2018-04-17 11:00:00,1706217.46,1150850.57
20,0.672,0.6798,0.6713,0.6757,2018-04-17 12:00:00,2661612.54,1804205.59
21,0.6733,0.6761,0.6682,0.672,2018-04-17 13:00:00,3657733.22,2464222.68
22,0.674,0.6749,0.6699,0.6733,2018-04-17 14:00:00,1655005.68,1111316.21
23,0.6739,0.6752,0.6719,0.674,2018-04-17 15:00:00,1223222.47,824194.45
24,0.6768,0.6769,0.6736,0.6739,2018-04-17 16:00:00,2322572.83,1569139.76
25,0.6775,0.6783,0.6755,0.6768,2018-04-17 17:00:00,2028632.43,1373795.4
26,0.6619,0.6777,0.661,0.6774,2018-04-17 18:00:00,4710614.66,3147467.34
27,0.6567,0.662,0.6514,0.6619,2018-04-17 19:00:00,8366450.7,5483353.88
28,0.6596,0.6603,0.651,0.6567,2018-04-17 20:00:00,5086346.03,3334226.86
29,0.662,0.6628,0.6583,0.6596,2018-04-17 21:00:00,2085281.83,1377828.78
30,0.657,0.662,0.6547,0.662,2018-04-17 22:00:00,2467702.12,1620889.65
31,0.6548,0.657,0.6524,0.657,2018-04-17 23:00:00,2514416.01,1644602.88
32,0.6596,0.6605,0.653,0.6549,2018-04-18 00:00:00,1498516.63,984012.65
33,0.6623,0.6638,0.6595,0.6596,2018-04-18 01:00:00,1161172.92,769764.02
34,0.6597,0.6646,0.6593,0.6623,2018-04-18 02:00:00,1241471.42,821775.64
35,0.6648,0.6655,0.6592,0.6596,2018-04-18 03:00:00,871418.64,577455.73
36,0.6656,0.6683,0.6642,0.6648,2018-04-18 04:00:00,2211884.35,1473888.7
37,0.6651,0.6664,0.6636,0.6658,2018-04-18 05:00:00,1785700.63,1187935.94
38,0.6763,0.6776,0.6575,0.6651,2018-04-18 06:00:00,4761876.08,3188159.74
39,0.6764,0.6812,0.6732,0.6763,2018-04-18 07:00:00,6905379.1,4683953.94
40,0.6761,0.6772,0.6733,0.6763,2018-04-18 08:00:00,2128331.34,1437450.32
41,0.678,0.6792,0.6756,0.6761,2018-04-18 09:00:00,2200486.76,1491130.88
42,0.677,0.6787,0.674,0.678,2018-04-18 10:00:00,1993322.11,1348499.22
43,0.6931,0.6942,0.6764,0.677,2018-04-18 11:00:00,10108378.43,6958067.13
44,0.6884,0.6954,0.6851,0.6931,2018-04-18 12:00:00,5535820.84,3815398.51
45,0.6838,0.6918,0.6835,0.6885,2018-04-18 13:00:00,3601279.43,2475835.07
46,0.6739,0.6891,0.6736,0.6839,2018-04-18 14:00:00,4223422.33,2887234.44
47,0.6782,0.681,0.6702,0.6739,2018-04-18 15:00:00,6039763.34,4077199.33
48,0.6863,0.6887,0.6767,0.6784,2018-04-18 16:00:00,4195557.77,2871317.47
49,0.6854,0.6894,0.6833,0.6863,2018-04-18 17:00:00,3387191.82,2328383.24
50,0.689,0.6932,0.6817,0.6854,2018-04-18 18:00:00,6253732.68,4302130.5
51,0.6995,0.7097,0.688,0.689,2018-04-18 19:00:00,11013354.8,7712111.04
