,close,high,low,open,time,volumefrom,volumeto
0,0.4677,0.4679,0.4677,0.4679,2018-07-07 14:40:00,5548.63,2593.21
1,0.4679,0.4679,0.4677,0.4677,2018-07-07 14:41:00,1288.71,604.04
2,0.4679,0.468,0.4679,0.4679,2018-07-07 14:42:00,331.09,154.86
3,0.4679,0.4679,0.4678,0.4679,2018-07-07 14:43:00,5737.31,2684.92
4,0.468,0.4681,0.4679,0.4679,2018-07-07 14:44:00,3224.57,1510.13
5,0.468,0.4682,0.4679,0.468,2018-07-07 14:45:00,2473.76,1158.12
6,0.4679,0.468,0.4679,0.468,2018-07-07 14:46:00,2370.36,1111.52
7,0.4679,0.4679,0.4678,0.4678,2018-07-07 14:47:00,782.39,366.0
8,0.4676,0.4679,0.4676,0.4679,2018-07-07 14:48:00,9069.02,4242.93
9,0.4676,0.4677,0.4676,0.4676,2018-07-07 14:49:00,32125.08,15020.21
10,0.4673,0.4676,0.4673,0.4676,2018-07-07 14:50:00,16285.33,7607.69
11,0.4674,0.4674,0.4672,0.4673,2018-07-07 14:51:00,44122.51,20685.95
12,0.4676,0.4679,0.4674,0.4674,2018-07-07 14:52:00,5066.71,2367.94
13,0.4678,0.4678,0.4676,0.4676,2018-07-07 14:53:00,1521.09,710.83
14,0.4673,0.4678,0.4673,0.4678,2018-07-07 14:54:00,54662.86,25530.33
15,0.4673,0.4673,0.4673,0.4673,2018-07-07 14:55:00,4712.02,2200.33
16,0.467,0.4673,0.467,0.4673,2018-07-07 14:56:00,7409.23,3462.45
17,0.4668,0.467,0.4668,0.467,2018-07-07 14:57:00,70374.25,32822.41
18,0.4667,0.4668,0.4666,0.4668,2018-07-07 14:58:00,6847.13,3197.26
19,0.4665,0.4669,0.4665,0.4667,2018-07-07 14:59:00,2411.4,1125.09
20,0.4663,0.4667,0.4663,0.4665,2018-07-07 15:00:00,96207.73,44861.83
21,0.4667,0.4668,0.4663,0.4663,2018-07-07 15:01:00,40169.94,18720.5
22,0.4662,0.4667,0.4662,0.4667,2018-07-07 15:02:00,56055.79,26120.29
23,0.4664,0.4667,0.4663,0.4663,2018-07-07 15:03:00,2338.26,1093.54
24,0.4663,0.4664,0.4663,0.4664,2018-07-07 15:04:00,1130.96,527.41
25,0.4664,0.4665,0.4664,0.4664,2018-07-07 15:05:00,2325.18,1087.53
26,0.4668,0.4668,0.4664,0.4664,2018-07-07 15:06:00,845.46,394.64
27,0.4667,0.4668,0.4667,0.4668,2018-07-07 15:07:00,2153.95,1007.95
28,0.4669,0.4669,0.4667,0.4667,2018-07-07 15:08:00,152.89,71.38
29,0.4666,0.4669,0.4666,0.4669,2018-07-07 15:09:00,6709.73,3131.77
30,0.4671,0.4671,0.4666,0.4666,2018-07-07 15:10:00,27803.13,13010.08
31,0.467,0.4671,0.467,0.4671,2018-07-07 15:11:00,9783.94,4576.23
32,0.4668,0.4671,0.4668,0.4671,2018-07-07 15:12:00,24540.93,11478.17
33,0.4668,0.4669,0.4668,0.4668,2018-07-07 15:13:00,236.67,110.69
34,0.4671,0.4671,0.4668,0.4668,2018-07-07 15:14:00,101622.94,47544.09
35,0.4669,0.4672,0.4669,0.4671,2018-07-07 15:15:00,1027.46,479.57
36,0.4667,0.4669,0.4666,0.4669,2018-07-07 15:16:00,2501.18,1167.08
37,0.4667,0.4669,0.4667,0.4667,2018-07-07 15:17:00,431.57,201.47
38,0.4668,0.4669,0.4667,0.4667,2018-07-07 15:18:00,6960.5,3253.86
39,0.4667,0.4668,0.4667,0.4668,2018-07-07 15:19:00,9500.49,4431.95
40,0.4668,0.467,0.4667,0.4667,2018-07-07 15:20:00,4478.72,2094.71
41,0.4668,0.4669,0.4668,0.4669,2018-07-07 15:21:00,523.99,244.56
42,0.4668,0.4668,0.4668,0.4668,2018-07-07 15:22:00,371.09,173.19
43,0.4667,0.4668,0.4667,0.4668,2018-07-07 15:23:00,379.95,177.31
44,0.4668,0.467,0.4667,0.4667,2018-07-07 15:24:00,2122.06,993.69
45,0.4667,0.4668,0.4667,0.4668,2018-07-07 15:25:00,263.39,122.94
46,0.4667,0.4667,0.4667,0.4667,2018-07-07 15:26:00,191.09,89.23
47,0.4667,0.4667,0.4667,0.4667,2018-07-07 15:27:00,2714.51,1266.48
48,0.4667,0.4668,0.4667,0.4667,2018-07-07 15:28:00,4401.98,2057.25
49,0.4667,0.4667,0.4667,0.4667,2018-07-07 15:29:00,422.08,197.16
50,0.4667,0.4668,0.4667,0.4667,2018-07-07 15:30:00,7873.86,3684.74
51,0.4667,0.4668,0.4667,0.4667,2018-07-07 15:31:00,141.09,65.91
52,0.4667,0.4667,0.4667,0.4667,2018-07-07 15:32:00,121.09,56.57
53,0.4668,0.4669,0.4667,0.4667,2018-07-07 15:33:00,1810.49,846.94
54,0.4666,0.4668,0.4666,0.4668,2018-07-07 15:34:00,438.81,204.71
55,0.4667,0.4669,0.4666,0.4666,2018-07-07 15:35:00,23013.52,10746.84
56,0.4666,0.4667,0.4666,0.4667,2018-07-07 15:36:00,121.09,56.56
57,0.4662,0.4667,0.4661,0.4667,2018-07-07 15:37:00,183750.84,85761.48
58,0.4659,0.4664,0.4659,0.4662,2018-07-07 15:38:00,1186.47,553.01
59,0.466,0.466,0.4659,0.4659,2018-07-07 15:39:00,4601.87,2151.59
60,0.4661,0.4661,0.466,0.466,2018-07-07 15:40:00,1450.71,675.92
61,0.4661,0.4661,0.466,0.4661,2018-07-07 15:41:00,5521.92,2572.96
62,0.4659,0.4661,0.4659,0.4661,2018-07-07 15:42:00,2581.82,1204.59
63,0.466,0.466,0.4659,0.4659,2018-07-07 15:43:00,4138.23,1928.88
64,0.4661,0.4663,0.4661,0.4661,2018-07-07 15:44:00,648.72,302.26
65,0.4662,0.4662,0.466,0.4661,2018-07-07 15:45:00,12237.41,5702.81
66,0.4661,0.4663,0.4661,0.4662,2018-07-07 15:46:00,2642.0,1232.76
67,0.4661,0.4661,0.4661,0.4661,2018-07-07 15:47:00,3009.76,1404.3
68,0.4661,0.4661,0.4661,0.4661,2018-07-07 15:48:00,918.72,428.7
69,0.4661,0.4661,0.4661,0.4661,2018-07-07 15:49:00,5444.06,2537.81
70,0.4661,0.4663,0.4661,0.4661,2018-07-07 15:50:00,2089.07,973.66
71,0.4661,0.4661,0.4661,0.4661,2018-07-07 15:51:00,1271.24,593.25
72,0.466,0.4661,0.466,0.4661,2018-07-07 15:52:00,2228.88,1042.95
73,0.466,0.466,0.466,0.466,2018-07-07 15:53:00,521.09,242.76
74,0.466,0.466,0.466,0.466,2018-07-07 15:54:00,2328.52,1084.62
75,0.466,0.466,0.466,0.466,2018-07-07 15:55:00,912.59,424.76
76,0.4659,0.466,0.4659,0.466,2018-07-07 15:56:00,6016.09,2803.31
77,0.4659,0.4659,0.4659,0.4659,2018-07-07 15:57:00,146.09,68.04
78,0.4659,0.466,0.4659,0.4659,2018-07-07 15:58:00,121.09,56.4
79,0.4662,0.4662,0.4659,0.4659,2018-07-07 15:59:00,12774.03,5955.27
80,0.466,0.4662,0.466,0.4662,2018-07-07 16:00:00,850.15,396.14
81,0.466,0.466,0.466,0.466,2018-07-07 16:01:00,121.09,56.39
82,0.4662,0.4662,0.466,0.466,2018-07-07 16:02:00,4751.14,2216.4
83,0.4668,0.4668,0.4662,0.4662,2018-07-07 16:03:00,12598.92,5878.13
84,0.4671,0.4671,0.4668,0.4668,2018-07-07 16:04:00,2181.05,1024.12
85,0.4672,0.4672,0.4671,0.4671,2018-07-07 16:05:00,332.61,155.33
86,0.4673,0.4674,0.4672,0.4672,2018-07-07 16:06:00,8387.37,3921.99
87,0.4671,0.4673,0.467,0.4673,2018-07-07 16:07:00,4429.67,2068.53
88,0.4672,0.4673,0.4671,0.4671,2018-07-07 16:08:00,1025.91,479.37
89,0.4673,0.4673,0.4671,0.4672,2018-07-07 16:09:00,1486.91,694.71
90,0.467,0.4673,0.467,0.4673,2018-07-07 16:10:00,7144.48,3340.92
91,0.467,0.4671,0.467,0.4671,2018-07-07 16:11:00,5141.68,2406.18
92,0.4667,0.467,0.4667,0.467,2018-07-07 16:12:00,729.04,340.04
93,0.4666,0.4667,0.4666,0.4667,2018-07-07 16:13:00,1873.07,874.6
94,0.4666,0.4666,0.4666,0.4666,2018-07-07 16:14:00,2764.23,1288.23
95,0.4665,0.4667,0.4665,0.4666,2018-07-07 16:15:00,3398.21,1586.59
96,0.4665,0.4666,0.4664,0.4665,2018-07-07 16:16:00,4688.72,2188.28
97,0.4664,0.4665,0.4664,0.4665,2018-07-07 16:17:00,766.31,357.31
98,0.4663,0.4664,0.4661,0.4664,2018-07-07 16:18:00,4100.0,1913.2
99,0.4665,0.4666,0.4662,0.4663,2018-07-07 16:19:00,16951.13,7907.54
100,0.4663,0.4665,0.4662,0.4665,2018-07-07 16:20:00,2062.53,963.62
101,0.4662,0.4663,0.4661,0.4663,2018-07-07 16:21:00,694.51,323.98
102,0.466,0.4662,0.466,0.4662,2018-07-07 16:22:00,221.09,102.98
103,0.466,0.4661,0.466,0.466,2018-07-07 16:23:00,765.85,356.85
104,0.4661,0.4661,0.466,0.466,2018-07-07 16:24:00,139.54,65.04
105,0.4661,0.4661,0.4661,0.4661,2018-07-07 16:25:00,2306.88,1075.57
106,0.466,0.4661,0.466,0.4661,2018-07-07 16:26:00,144.25,67.2
107,0.4659,0.466,0.4659,0.466,2018-07-07 16:27:00,2827.38,1318.98
108,0.4659,0.466,0.4659,0.4659,2018-07-07 16:28:00,2648.28,1235.48
109,0.4659,0.4659,0.4659,0.4659,2018-07-07 16:29:00,186.97,87.08
110,0.4659,0.4659,0.4659,0.4659,2018-07-07 16:30:00,371.57,173.08
111,0.4659,0.4659,0.4659,0.4659,2018-07-07 16:31:00,121.09,56.39
112,0.4659,0.4661,0.4659,0.4659,2018-07-07 16:32:00,3522.12,1646.81
113,0.4661,0.4663,0.4659,0.4659,2018-07-07 16:33:00,18227.71,8493.9
114,0.4666,0.4666,0.4661,0.4661,2018-07-07 16:34:00,5150.0,2404.15
115,0.4667,0.4669,0.4666,0.4666,2018-07-07 16:35:00,20962.98,9787.75
116,0.4667,0.4668,0.4667,0.4668,2018-07-07 16:36:00,11338.9,5295.17
117,0.4667,0.4667,0.4667,0.4667,2018-07-07 16:37:00,683.67,320.77
118,0.4668,0.4668,0.4666,0.4667,2018-07-07 16:38:00,778.88,363.58
119,0.4668,0.4669,0.4668,0.4668,2018-07-07 16:39:00,2103.63,982.02
120,0.4668,0.4668,0.4667,0.4668,2018-07-07 16:40:00,3507.76,1638.8
121,0.4669,0.4669,0.4668,0.4668,2018-07-07 16:41:00,374.45,174.84
122,0.4668,0.4669,0.4668,0.4669,2018-07-07 16:42:00,2171.09,1013.3
